0.997479,0.997479
0.994983,0.994945
0.992513,0.992399
0.990068,0.989841
0.987648,0.987271
0.985253,0.98469
0.982883,0.982098
0.980538,0.979494
0.978218,0.976881
0.975923,0.974257
0.973653,0.971623
0.971407,0.96898
0.969186,0.966328
0.966989,0.963666
0.964817,0.960996
0.962669,0.958318
0.960546,0.955631
0.958446,0.952937
0.956371,0.950235
0.95432,0.947526
0.952293,0.94481
0.95029,0.942087
0.94831,0.939357
0.946354,0.936622
0.944422,0.933881
0.942513,0.931134
0.940628,0.928381
0.938766,0.925624
0.936928,0.922862
0.935112,0.920095
0.93332,0.917324
0.93155,0.914548
0.929804,0.911769
0.92808,0.908986
0.926379,0.9062
0.924701,0.903411
0.923045,0.900619
0.921412,0.897824
0.919801,0.895027
0.918212,0.892228
0.916646,0.889427
0.915102,0.886624
0.913579,0.883819
0.912079,0.881013
0.9106,0.878206
0.909143,0.875398
0.907708,0.87259
0.906294,0.869781
0.904902,0.866972
0.903531,0.864162
0.902182,0.861353
0.900853,0.858544
0.899546,0.855736
0.898259,0.852928
0.896994,0.850122
0.895749,0.847316
0.894526,0.844512
0.893322,0.841709
0.89214,0.838908
0.890977,0.836109
0.889836,0.833311
0.888714,0.830516
0.887613,0.827723
0.886532,0.824933
0.88547,0.822145
0.884429,0.81936
0.883408,0.816579
0.882406,0.8138
0.881424,0.811024
0.880462,0.808252
0.879519,0.805484
0.878596,0.802719
0.877691,0.799958
0.876807,0.797202
0.875941,0.794449
0.875094,0.791701
0.874267,0.788957
0.873458,0.786218
0.872668,0.783483
0.871897,0.780753
0.871145,0.778028
0.870411,0.775309
0.869696,0.772594
0.868999,0.769885
0.868321,0.767181
0.867661,0.764483
0.867019,0.761791
0.866395,0.759104
0.86579,0.756423
0.865202,0.753748
0.864632,0.751079
0.86408,0.748417
0.863546,0.745761
0.863029,0.743111
0.86253,0.740468
0.862049,0.737831
0.861585,0.735201
0.861138,0.732578
0.860709,0.729961
0.860297,0.727352
0.859902,0.72475
0.859524,0.722155
0.859163,0.719567
0.85882,0.716986
0.858493,0.714413
0.858183,0.711847
0.85789,0.709289
0.857613,0.706739
0.857353,0.704196
0.85711,0.701661
0.856883,0.699134
0.856672,0.696614
0.856478,0.694103
0.856301,0.691599
0.856139,0.689104
0.855994,0.686617
0.855865,0.684138
0.855752,0.681668
0.855655,0.679205
0.855573,0.676752
0.855508,0.674306
0.855459,0.671869
0.855425,0.669441
0.855407,0.667021
0.855405,0.66461
0.855418,0.662208
0.855447,0.659814
0.855491,0.657429
0.855551,0.655053
0.855626,0.652686
0.855717,0.650328
0.855822,0.647979
0.855943,0.645639
0.85608,0.643307
0.856231,0.640985
0.856397,0.638672
0.856578,0.636369
0.856775,0.634074
0.856986,0.631789
0.857212,0.629512
0.857453,0.627245
0.857708,0.624988
0.857979,0.62274
0.858264,0.620501
0.858564,0.618271
0.858878,0.616051
0.859207,0.61384
0.85955,0.611639
0.859908,0.609448
0.86028,0.607265
0.860666,0.605093
0.861067,0.602929
0.861482,0.600776
0.861912,0.598632
0.862355,0.596497
